,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita
213,India,IND,1968,Summer,533431909.0,53085455869.13175,99.51683612,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.8746535089635965e-09,5.62396052689079e-09,1.883755133355617e-11,5.6512654000668505e-11,6.0,1.0,533431909.0,88905318.16666667
214,Iraq,IRQ,1968,Summer,9156132.0,2896947633.3238764,316.3942627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0921642457753995e-07,0.0,3.4519091353150493e-10,1.0,0.0,0.0,9156132.0
235,Ireland,IRL,1968,Summer,2915550.0,3278584478.0898004,1124.516636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.4298845843837353e-07,0.0,3.050096792328589e-10,1.0,0.0,0.0,2915550.0
261,Israel,ISR,1968,Summer,2803000.0,4618999999.022,1647.877274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Italy,ITA,1968,Summer,53235750.0,87942231689.12775,1651.939377,3.0,4.0,9.0,16.0,26.0,25.0,33.0,84.0,3.0054991241787706e-07,1.5778870401938547e-06,1.8193761623606911e-10,9.551724852393628e-10,161.0,26.0,2047528.8461538462,330656.83229813667
216,Italy,ITA,1968,Winter,53235750.0,87942231689.12775,1651.939377,4.0,0.0,0.0,4.0,30.0,25.0,33.0,88.0,7.513747810446927e-08,1.653024518298324e-06,4.548440405901728e-11,1.0006568892983802e-09,173.0,12.0,4436312.5,307721.09826589597
242,Jamaica,JAM,1968,Summer,1812209.0,1083883355.283703,598.1006359,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,5.518127324166252e-07,5.518127324166252e-07,9.226085031430833e-10,9.226085031430833e-10,2.0,2.0,906104.5,906104.5
217,Japan,JPN,1968,Summer,101011000.0,146601072717.733,1451.337703,11.0,7.0,7.0,25.0,31.0,19.0,22.0,72.0,2.474977972696043e-07,7.127936561364603e-07,1.705308122003665e-10,4.911287391370555e-10,153.0,54.0,1870574.0740740742,660202.614379085
292,Jordan,JOR,1968,Summer,1366644.0,561187342.4549088,410.6316952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,Kazakhstan,KAZ,1968,Summer,11777849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
236,Kenya,KEN,1968,Summer,10613877.0,1353295457.3562756,127.5024628,3.0,4.0,2.0,9.0,3.0,4.0,3.0,10.0,8.479465137951005e-07,9.421627931056672e-07,6.650432432236129e-09,7.389369369151254e-09,20.0,19.0,558625.1052631579,530693.85
238,"Korea, Dem. People's Rep.",PRK,1968,Summer,14216305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.034176602148026e-08,,0.0,2.0,0.0,0.0,7108152.5
