Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals
Russian Federation,RUS,1996,148160129.0,26,21,16,63
Slovak Republic,SVK,1996,5373361.0,1,1,1,3
Sweden,SWE,1996,8840998.0,2,4,2,8
Syrian Arab Republic,SYR,1996,14708879.0,1,0,0,1
Thailand,THA,1996,60211096.0,1,0,1,2
Trinidad and Tobago,TTO,1996,1313434.0,0,0,2,2
Tunisia,TUN,1996,9430550.0,0,0,1,1
Turkiye,TUR,1996,60293786.0,4,1,1,6
Uganda,UGA,1996,21249572.0,0,0,1,1
Ukraine,UKR,1996,51057800.0,9,2,12,23
United States,USA,1996,269394000.0,44,32,25,101
Uzbekistan,UZB,1996,23225000.0,0,1,1,2
Argentina,ARG,2000,37070774.0,0,2,2,4
Armenia,ARM,2000,3168523.0,0,0,1,1
Australia,AUS,2000,19028802.0,16,25,17,58
Austria,AUT,2000,8011566.0,2,1,0,3
Azerbaijan,AZE,2000,8048600.0,2,0,1,3
Belgium,BEL,2000,10251250.0,0,2,3,5
Belarus,BLR,2000,9979610.0,3,3,11,17
Brazil,BRA,2000,175873720.0,0,6,6,12
Canada,CAN,2000,30685730.0,3,3,8,14
Channel Islands,CHI,2000,145306.0,0,0,1,1
China,CHN,2000,1262645000.0,28,16,14,58
Cameroon,CMR,2000,15091594.0,1,0,0,1
Colombia,COL,2000,39215135.0,1,0,0,1
Cuba,CUB,2000,11105791.0,11,11,7,29
Czechia,CZE,2000,10255063.0,2,3,3,8
Spain,ESP,2000,40567864.0,3,3,5,11
Estonia,EST,2000,1396985.0,1,0,2,3
Ethiopia,ETH,2000,67031867.0,4,1,3,8
Finland,FIN,2000,5176209.0,2,1,1,4
France,FRA,2000,60921384.0,13,14,11,38
United Kingdom,GBR,2000,58892514.0,11,10,7,28
Georgia,GEO,2000,4077131.0,0,0,6,6
Hungary,HUN,2000,10210971.0,8,6,3,17
India,IND,2000,1059633675.0,0,0,1,1
Ireland,IRL,2000,3805174.0,0,1,0,1
Iceland,ISL,2000,281205.0,0,0,1,1
Israel,ISR,2000,6289000.0,0,0,1,1
Italy,ITA,2000,56942108.0,13,8,13,34
Jamaica,JAM,2000,2612205.0,0,6,3,9
Japan,JPN,2000,126843000.0,5,8,5,18
Kazakhstan,KAZ,2000,14883626.0,3,4,0,7
Kenya,KEN,2000,30851606.0,2,3,2,7
Kyrgyz Republic,KGZ,2000,4898400.0,0,0,1,1
"Korea, Rep.",KOR,2000,47008111.0,8,10,10,28
Lithuania,LTU,2000,3499536.0,2,0,3,5
Morocco,MAR,2000,28554415.0,0,1,4,5
Moldova,MDA,2000,2924668.0,0,1,1,2
Mexico,MEX,2000,97873442.0,1,2,3,6
North Macedonia,MKD,2000,2026350.0,0,0,1,1
Mozambique,MOZ,2000,17768505.0,1,0,0,1
Norway,NOR,2000,4490967.0,4,3,3,10
New Zealand,NZL,2000,3857700.0,1,0,3,4
Poland,POL,2000,38258629.0,6,5,3,14
"Korea, Dem. People's Rep.",PRK,2000,23367059.0,0,1,3,4
Qatar,QAT,2000,645937.0,0,0,1,1
Romania,ROU,2000,22442971.0,11,6,9,26
Russian Federation,RUS,2000,146596869.0,32,28,29,89
Slovak Republic,SVK,2000,5388720.0,1,3,1,5
Sweden,SWE,2000,8872109.0,4,5,3,12
Thailand,THA,2000,63066603.0,1,0,2,3
Trinidad and Tobago,TTO,2000,1332203.0,0,1,1,2
Turkiye,TUR,2000,64113547.0,3,0,2,5
Ukraine,UKR,2000,49176500.0,3,10,10,23
United States,USA,2000,282162411.0,37,24,32,93
Uzbekistan,UZB,2000,24650400.0,1,1,2,4
Argentina,ARG,2004,38668796.0,2,0,4,6
Australia,AUS,2004,19932722.0,17,16,17,50
Austria,AUT,2004,8171966.0,2,4,1,7
Azerbaijan,AZE,2004,8306500.0,1,0,4,5
Belgium,BEL,2004,10421137.0,1,0,2,3
Belarus,BLR,2004,9730146.0,2,5,6,13
Brazil,BRA,2004,184722043.0,5,2,3,10
Canada,CAN,2004,31940655.0,3,6,3,12
Channel Islands,CHI,2004,149538.0,2,0,1,3
China,CHN,2004,1296075000.0,32,17,14,63
Cameroon,CMR,2004,16809407.0,1,0,0,1
Colombia,COL,2004,41648268.0,0,0,2,2
Cuba,CUB,2004,11225294.0,9,7,11,27
Czechia,CZE,2004,10197101.0,1,3,5,9
Dominican Republic,DOM,2004,9043127.0,1,0,0,1
"Egypt, Arab Rep.",EGY,2004,77522427.0,1,1,3,5
Eritrea,ERI,2004,2763140.0,0,0,1,1
Spain,ESP,2004,42921895.0,3,11,6,20
