Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals,Season
United States,USA,1988,244499000.0,2,1,3,6,Winter
Argentina,ARG,1992,33568285.0,0,0,1,1,Summer
Australia,AUS,1992,17478635.0,7,9,11,27,Summer
Austria,AUT,1992,7840709.0,0,2,0,2,Summer
Austria,AUT,1992,7840709.0,6,7,8,21,Winter
Belgium,BEL,1992,10045158.0,0,1,2,3,Summer
Brazil,BRA,1992,155900790.0,2,1,0,3,Summer
Canada,CAN,1992,28371264.0,7,4,7,18,Summer
Canada,CAN,1992,28371264.0,2,3,2,7,Winter
China,CHN,1992,1164970000.0,16,22,16,54,Summer
China,CHN,1992,1164970000.0,0,3,0,3,Winter
Colombia,COL,1992,33939039.0,0,0,1,1,Summer
Cuba,CUB,1992,10783748.0,14,6,11,31,Summer
Spain,ESP,1992,39157685.0,13,7,2,22,Summer
Spain,ESP,1992,39157685.0,0,0,1,1,Winter
Estonia,EST,1992,1533091.0,1,0,1,2,Summer
Ethiopia,ETH,1992,52011554.0,1,0,2,3,Summer
Finland,FIN,1992,5041992.0,1,2,2,5,Summer
Finland,FIN,1992,5041992.0,3,1,3,7,Winter
France,FRA,1992,58849943.0,8,5,16,29,Summer
France,FRA,1992,58849943.0,3,5,1,9,Winter
United Kingdom,GBR,1992,57580402.0,5,3,12,20,Summer
Ghana,GHA,1992,16241548.0,0,0,1,1,Summer
Hungary,HUN,1992,10369341.0,11,12,7,30,Summer
Ireland,IRL,1992,3558430.0,1,1,0,2,Summer
Israel,ISR,1992,5123000.0,0,1,1,2,Summer
Italy,ITA,1992,56797087.0,6,5,8,19,Summer
Italy,ITA,1992,56797087.0,4,6,4,14,Winter
Jamaica,JAM,1992,2434574.0,0,3,1,4,Summer
Japan,JPN,1992,124425000.0,3,8,11,22,Summer
Japan,JPN,1992,124425000.0,1,2,4,7,Winter
Kenya,KEN,1992,24655723.0,2,4,2,8,Summer
"Korea, Rep.",KOR,1992,43747962.0,12,5,12,29,Summer
"Korea, Rep.",KOR,1992,43747962.0,2,1,1,4,Winter
Lithuania,LTU,1992,3700114.0,1,0,1,2,Summer
Luxembourg,LUX,1992,392175.0,0,2,0,2,Winter
Morocco,MAR,1992,25400676.0,1,1,1,3,Summer
Mexico,MEX,1992,84993164.0,0,1,0,1,Summer
Namibia,NAM,1992,1461687.0,0,2,0,2,Summer
Norway,NOR,1992,4286401.0,2,4,1,7,Summer
Norway,NOR,1992,4286401.0,9,6,5,20,Winter
New Zealand,NZL,1992,3531700.0,1,4,5,10,Summer
New Zealand,NZL,1992,3531700.0,0,1,0,1,Winter
Pakistan,PAK,1992,122375179.0,0,0,1,1,Summer
Peru,PER,1992,23047248.0,0,1,0,1,Summer
Poland,POL,1992,38363667.0,3,6,10,19,Summer
"Korea, Dem. People's Rep.",PRK,1992,21439991.0,4,0,5,9,Summer
"Korea, Dem. People's Rep.",PRK,1992,21439991.0,0,0,1,1,Winter
Qatar,QAT,1992,471293.0,0,0,1,1,Summer
Romania,ROU,1992,22794284.0,4,6,8,18,Summer
Suriname,SUR,1992,419521.0,0,0,1,1,Summer
Sweden,SWE,1992,8668067.0,1,7,4,12,Summer
Sweden,SWE,1992,8668067.0,1,0,3,4,Winter
Thailand,THA,1992,56939020.0,0,0,1,1,Summer
Turkiye,TUR,1992,56302037.0,2,2,2,6,Summer
United States,USA,1992,256514000.0,37,34,37,108,Summer
United States,USA,1992,256514000.0,5,4,2,11,Winter
Australia,AUS,1994,17805468.0,0,0,1,1,Winter
Austria,AUT,1994,7936118.0,2,3,4,9,Winter
Belarus,BLR,1994,10226955.0,0,2,0,2,Winter
Canada,CAN,1994,29000663.0,3,6,4,13,Winter
China,CHN,1994,1191835000.0,0,1,2,3,Winter
Finland,FIN,1994,5088333.0,0,1,5,6,Winter
France,FRA,1994,59327585.0,0,1,4,5,Winter
United Kingdom,GBR,1994,57865745.0,0,0,2,2,Winter
Italy,ITA,1994,56843400.0,7,5,8,20,Winter
Japan,JPN,1994,125178000.0,1,2,2,5,Winter
Kazakhstan,KAZ,1994,16145766.0,1,2,0,3,Winter
"Korea, Rep.",KOR,1994,44641540.0,4,1,1,6,Winter
Norway,NOR,1994,4336613.0,10,11,5,26,Winter
Russian Federation,RUS,1994,148407912.0,11,8,4,23,Winter
Sweden,SWE,1994,8780745.0,2,1,0,3,Winter
Ukraine,UKR,1994,51921400.0,1,0,1,2,Winter
United States,USA,1994,263126000.0,6,5,2,13,Winter
Uzbekistan,UZB,1994,22377000.0,1,0,0,1,Winter
Argentina,ARG,1996,35389362.0,0,2,1,3,Summer
Armenia,ARM,1996,3298898.0,1,1,0,2,Summer
Australia,AUS,1996,18224767.0,9,9,23,41,Summer
Austria,AUT,1996,7959017.0,0,1,2,3,Summer
Azerbaijan,AZE,1996,7763000.0,0,1,0,1,Summer
Burundi,BDI,1996,5930507.0,1,0,0,1,Summer
Belgium,BEL,1996,10156637.0,2,2,2,6,Summer
Belarus,BLR,1996,10159569.0,1,6,8,15,Summer
Brazil,BRA,1996,166037122.0,3,3,9,15,Summer
Canada,CAN,1996,29610218.0,3,11,8,22,Summer
China,CHN,1996,1217550000.0,16,22,12,50,Summer
Cuba,CUB,1996,10963031.0,9,8,8,25,Summer
Czechia,CZE,1996,10315241.0,4,3,4,11,Summer
Ecuador,ECU,1996,11775221.0,1,0,0,1,Summer
Spain,ESP,1996,39889852.0,5,6,6,17,Summer
Ethiopia,ETH,1996,59347649.0,2,0,1,3,Summer
Finland,FIN,1996,5124573.0,1,2,1,4,Summer
France,FRA,1996,59756533.0,15,7,15,37,Summer
United Kingdom,GBR,1996,58166950.0,1,8,6,15,Summer
Georgia,GEO,1996,4491699.0,0,0,2,2,Summer
"Hong Kong SAR, China",HKG,1996,6435500.0,1,0,0,1,Summer
Hungary,HUN,1996,10311238.0,7,4,10,21,Summer
India,IND,1996,983281218.0,0,0,1,1,Summer
Ireland,IRL,1996,3637510.0,3,0,1,4,Summer
Israel,ISR,1996,5692000.0,0,0,1,1,Summer
Italy,ITA,1996,56860281.0,13,10,12,35,Summer
Jamaica,JAM,1996,2532894.0,1,3,2,6,Summer
Japan,JPN,1996,125757000.0,3,6,5,14,Summer
Kazakhstan,KAZ,1996,15578227.0,3,4,4,11,Summer
Kenya,KEN,1996,27615736.0,1,4,3,8,Summer
"Korea, Rep.",KOR,1996,45524681.0,7,15,5,27,Summer
Lithuania,LTU,1996,3601613.0,0,0,1,1,Summer
Morocco,MAR,1996,26999093.0,0,0,2,2,Summer
Moldova,MDA,1996,2947293.0,0,1,1,2,Summer
Mexico,MEX,1996,91586555.0,0,0,1,1,Summer
Mozambique,MOZ,1996,16079553.0,0,0,1,1,Summer
Namibia,NAM,1996,1650066.0,0,2,0,2,Summer
Norway,NOR,1996,4381336.0,2,2,3,7,Summer
New Zealand,NZL,1996,3732000.0,3,2,1,6,Summer
Poland,POL,1996,38624370.0,7,5,5,17,Summer
"Korea, Dem. People's Rep.",PRK,1996,22614347.0,2,1,2,5,Summer
Romania,ROU,1996,22619004.0,4,7,9,20,Summer
Russian Federation,RUS,1996,148160129.0,26,21,16,63,Summer
Slovak Republic,SVK,1996,5373361.0,1,1,1,3,Summer
Sweden,SWE,1996,8840998.0,2,4,2,8,Summer
