Country_Name,Country_Code,Year,GDP,Gold,Silver,Bronze,Total_Medals,Season
Suriname,SUR,1988,2887.061439,1,0,0,1,Summer
Sweden,SWE,1988,24534.69382,0,4,7,11,Summer
Thailand,THA,1988,1154.579398,0,0,1,1,Summer
Turkiye,TUR,1988,1737.94868,1,1,0,2,Summer
United States,USA,1988,21417.01193,36,31,27,94,Summer
Argentina,ARG,1992,6815.61829,0,0,1,1,Summer
Australia,AUS,1992,18624.55508,7,9,11,27,Summer
Austria,AUT,1992,24880.16412,0,2,0,2,Summer
Belgium,BEL,1992,23372.61917,0,1,2,3,Summer
Brazil,BRA,1992,2105.107748,2,1,0,3,Summer
Canada,CAN,1992,20879.84833,7,4,7,18,Summer
China,CHN,1992,366.4606923,16,22,16,54,Summer
Colombia,COL,1992,1721.29168,0,0,1,1,Summer
Cuba,CUB,1992,2048.068839,14,6,11,31,Summer
Spain,ESP,1992,16112.18892,13,7,2,22,Summer
Estonia,EST,1992,,1,0,1,2,Summer
Ethiopia,ETH,1992,201.7435026,1,0,2,3,Summer
Finland,FIN,1992,22319.05946,1,2,2,5,Summer
France,FRA,1992,23814.22737,8,5,16,29,Summer
United Kingdom,GBR,1992,20487.17079,5,3,12,20,Summer
Ghana,GHA,1992,394.9070373,0,0,1,1,Summer
Hungary,HUN,1992,3735.10582,11,12,7,30,Summer
Ireland,IRL,1992,15714.38475,1,1,0,2,Summer
Israel,ISR,1992,,0,1,1,2,Summer
Italy,ITA,1992,23243.47453,6,5,8,19,Summer
Jamaica,JAM,1992,1452.188387,0,3,1,4,Summer
Japan,JPN,1992,31414.98464,3,8,11,22,Summer
Kenya,KEN,1992,332.9502514,2,4,2,8,Summer
"Korea, Rep.",KOR,1992,8126.67039,12,5,12,29,Summer
Lithuania,LTU,1992,,1,0,1,2,Summer
Morocco,MAR,1992,1317.329956,1,1,1,3,Summer
Mexico,MEX,1992,4272.785965,0,1,0,1,Summer
Namibia,NAM,1992,2346.287909,0,2,0,2,Summer
Norway,NOR,1992,30523.98506,2,4,1,7,Summer
New Zealand,NZL,1992,11793.13924,1,4,5,10,Summer
Pakistan,PAK,1992,399.4650488,0,0,1,1,Summer
Peru,PER,1992,1560.546504,0,1,0,1,Summer
Poland,POL,1992,2459.020685,3,6,10,19,Summer
"Korea, Dem. People's Rep.",PRK,1992,,4,0,5,9,Summer
Qatar,QAT,1992,16223.78008,0,0,1,1,Summer
Romania,ROU,1992,1102.103785,4,6,8,18,Summer
Suriname,SUR,1992,964.4332465,0,0,1,1,Summer
Sweden,SWE,1992,32800.98269,1,7,4,12,Summer
Thailand,THA,1992,1957.407581,0,0,1,1,Summer
Turkiye,TUR,1992,2814.447556,2,2,2,6,Summer
United States,USA,1992,25418.99078,37,34,37,108,Summer
Argentina,ARG,1996,7690.157003,0,2,1,3,Summer
Armenia,ARM,1996,484.091641,1,1,0,2,Summer
Australia,AUS,1996,22020.09372,9,9,23,41,Summer
Austria,AUT,1996,29809.07677,0,1,2,3,Summer
Azerbaijan,AZE,1996,409.1631891,0,1,0,1,Summer
Burundi,BDI,1996,146.5361825,1,0,0,1,Summer
Belgium,BEL,1996,27489.55518,2,2,2,6,Summer
Belarus,BLR,1996,1452.507105,1,6,8,15,Summer
Brazil,BRA,1996,5121.905407,3,3,9,15,Summer
Canada,CAN,1996,21227.34753,3,11,8,22,Summer
China,CHN,1996,709.4137551,16,22,12,50,Summer
Cuba,CUB,1996,2281.97555,9,8,8,25,Summer
Czechia,CZE,1996,6532.837055,4,3,4,11,Summer
Ecuador,ECU,1996,2142.328641,1,0,0,1,Summer
Spain,ESP,1996,16109.0844,5,6,6,17,Summer
Ethiopia,ETH,1996,144.0316487,2,0,1,3,Summer
Finland,FIN,1996,25783.45049,1,2,1,4,Summer
France,FRA,1996,26870.28524,15,7,15,37,Summer
United Kingdom,GBR,1996,24440.32814,1,8,6,15,Summer
Georgia,GEO,1996,689.0594414,0,0,2,2,Summer
"Hong Kong SAR, China",HKG,1996,24818.15455,1,0,0,1,Summer
Hungary,HUN,1996,4525.039103,7,4,10,21,Summer
India,IND,1996,399.5775035,0,0,1,1,Summer
Ireland,IRL,1996,20835.89771,3,0,1,4,Summer
Israel,ISR,1996,20116.98187,0,0,1,1,Summer
Italy,ITA,1996,23081.60468,13,10,12,35,Summer
Jamaica,JAM,1996,2919.144486,1,3,2,6,Summer
Japan,JPN,1996,39150.03963,3,6,5,14,Summer
Kazakhstan,KAZ,1996,1350.30567,3,4,4,11,Summer
Kenya,KEN,1996,436.1954516,1,4,3,8,Summer
"Korea, Rep.",KOR,1996,13403.04959,7,15,5,27,Summer
Lithuania,LTU,1996,2327.434857,0,0,1,1,Summer
Morocco,MAR,1996,1585.718384,0,0,2,2,Summer
Moldova,MDA,1996,575.1454551,0,1,1,2,Summer
Mexico,MEX,1996,4487.291779,0,0,1,1,Summer
Mozambique,MOZ,1996,239.8574043,0,0,1,1,Summer
Namibia,NAM,1996,2417.605515,0,2,0,2,Summer
Norway,NOR,1996,37321.9742,2,2,3,7,Summer
New Zealand,NZL,1996,18794.43604,3,2,1,6,Summer
