Result_ID,Event_Title,Edition_ID,Sport,Result_Location,Result_Detail,Start_Date,End_Date,Time,Year,Season
1619,"Halfpipe, Men",46,Snowboarding,"Kanbayashi Sports Park, Yamanouchi",Gradient: 18°Length: 120 mWall Height: 3.5 mWall-to-Wall Width: 15 m,1998-02-12,,na,1998,Winter
6915,"100 metres Butterfly, Women",20,Swimming,"Plavatelny basseyn, Sportivny kompleks Olimpiysky, Moskva",na,1980-07-23,1980-07-24,na,1980,Summer
37760,"Volleyball, Men",26,Volleyball,"Stadio Eirinis kai Filias (SEF), Olympiako Syngrotima Papaliakis Zonis Falirou, Faliro",na,2004-08-15,2004-08-29,na,2004,Summer
9300,"30 metres², Open",7,Sailing,Oostende,na,1920-07-07,1920-07-09,na,1920,Summer
9000374,"Curling, Women",60,Curling,"Gangneung Curling Centre, Gangneung Olympic Park, Coastal Cluster, Gangneung",na,2018-02-14,2018-02-25,na,2018,Winter
44047,"Doubles, Men",2,Tennis,"Société des sports de l'île de Puteaux, Puteaux",na,1900-07-06,1900-07-11,na,1900,Summer
9202,"½-1 Ton Race One, Open",2,Sailing,"Cercle de la Voile de Paris, Meulan",na,1900-05-24,,na,1900,Summer
24299,"Light-Middleweight (≤71 kilograms), Men",18,Boxing,"Boxhalle, Olympiapark, München",na,1972-08-28,1972-09-10,na,1972,Summer
54258,"Springboard, Women",23,Diving,"Piscina Municipal de Montjuïc, Barcelona",na,1992-08-01,1992-08-02,na,1992,Summer
19019760,"Curling, Men",62,Curling,"Beijing Guojia Youyong Zhongxin, Beijing Aolinpike Gongyuan, Beijing",na,2022-02-09,2022-02-19,14:05,2022,Winter
42394,"Doubles, Women",24,Badminton,"Georgia State University Sports Arena, Atlanta, Georgia",na,1996-07-25,1996-07-31,na,1996,Summer
263735,"Middleweight, Greco-Roman (≤74 kilograms), Men",53,Wrestling,"Zhongguo Nongye Daxue Tiyuguan, Beijing",na,2008-08-13,,na,2008,Summer
10320,"Two Person Dinghy (470), Men",23,Sailing,"Puerto Olímpico, Barcelona",na,1992-07-27,1992-08-03,na,1992,Summer
124022,"Bantamweight, Greco-Roman (≤57 kilograms), Men",14,Wrestling,"Royal Exhibition Building, Melbourne, Victoria",na,1956-12-03,1956-12-06,na,1956,Summer
19016226,"Kayak Singles, 500 metres, Women",61,Canoe Sprint,"Sea Forest Waterway, 6-44, 3chome, Uminomori, Koto-ku, Tokyo Bay, Tokyo, Japan",na,2021-08-04,2021-08-05,na,2020,Summer
159339,"Eights, Women",23,Rowing,"Lago de Bañolas, Bañolas",na,1992-07-28,1992-08-02,na,1992,Summer
27301,"Light-Heavyweight (≤81 kilograms), Men",25,Boxing,"Sydney Exhibition Centre, Sydney Convention and Exhibition Centre, Sydney, New South Wales",na,2000-09-20,2000-10-01,na,2000,Summer
133080,"Lightweight, Freestyle (≤63 kilograms), Men",25,Wrestling,"Sydney Exhibition Centre, Sydney Convention and Exhibition Centre, Sydney, New South Wales (Halls 1 & 2)",na,2000-09-28,2000-09-30,09:30-17:00 (all days),2000,Summer
9681,"Two Person Keelboat (Star), Open",15,Sailing,Golfo di Napoli (Campo Azzurro),na,1960-08-29,1960-09-07,na,1960,Summer
925844,"Long Jump - Olympic Irish Sports, Men",3,Athletics,"Francis Field, Washington University, St. Louis",na,1904-07-20,,na,1904,Summer
5037,"400 metres Freestyle, Men",11,Swimming,"Schwimmstadion, Reichssportfeld, Berlin",na,1936-08-10,1936-08-12,na,1936,Summer
667,"5,000 metres Relay, Men",46,Short Track Speed Skating,"White Ring, Nagano",na,1998-02-19,1998-02-21,na,1998,Winter
51555,"Free Pistol, 50 Yards, Team, Men",5,Shooting,"Bisley Rifle Range, Bisley",na,1908-07-11,,na,1908,Summer
1523,"4 × 7.5 kilometres Relay, Men",39,Biathlon,"Makomanai Biathlon Site, Sapporo","Course Length: ?Height Differential: 44 mMaximum Climb: 33 mShooting 1: Prone at 2.5 km, 150 m rangeShooting 2: Standing at 5.0 km, 150 m rangeTotal Climbing: 224 m",1972-02-11,,09:00-11:04,1972,Winter
28898,"Bantamweight (≤56 kilograms), Men",12,Weightlifting,"Empress Hall, Earls Court Exhibition Centre, Kensington, London",na,1948-08-09,,14:30,1948,Summer
59714,"10,000 metres, Men",15,Athletics,"Stadio Olimpico, Roma",na,1960-09-08,,17:15,1960,Summer
124182,"Heavyweight, Greco-Roman (>87 kilograms), Men",14,Wrestling,"Royal Exhibition Building, Melbourne, Victoria",na,1956-12-03,1956-12-06,na,1956,Summer
40504,"Au Chapelet, 33 metres, Men",2,Archery,"Vélodrome Municipal de Vincennes, Paris",na,1900-05-27,1900-08-14,na,1900,Summer
58980,"50 kilometres Race Walk, Men",13,Athletics,"Helsingin Olympiastadion, Helsinki",na,1952-07-21,,14:00,1952,Summer
35542,"Hockey, Men",10,Hockey,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1932-08-04,1932-08-11,na,1932,Summer
51813,"Sporting Pistol, 25 metres, Women",22,Shooting,"Taeneung International Shooting Range, Seoul",na,1988-09-19,,14:30,1988,Summer
261402,"Double Trap, Men",53,Shooting,"Beijing Shejichang Feidie Bachang, Beijing",na,2008-08-12,,na,2008,Summer
925135,"Points Race, Professionals, Men",2,Cycling Track,"Vélodrome Municipal de Vincennes, Paris",na,1900-09-09,,na,1900,Summer
51696,"Free Pistol, 50 metres, Men",16,Shooting,"Asaka Shooting Range, Nezu Park, Asaka, Saitama",na,1964-10-18,,09:00-12:00,1964,Summer
255438,"Kayak Singles, Slalom, Women",18,Canoe Slalom,"Kanuslalomanlage, Augsburg",na,1972-08-30,,13:00,1972,Summer
70109,"Pommelled Horse, Men",10,Artistic Gymnastics,"Los Angeles Memorial Coliseum, Los Angeles, California",na,1932-08-11,,8:00,1932,Summer
158610,"Coxless Fours, Men",18,Rowing,"Olympia-Regattastrecke, Oberschleißheim, München",na,1972-08-27,1972-09-02,na,1972,Summer
57148,"400 metres Hurdles, Men",7,Athletics,"Olympisch Stadion, Antwerpen",na,1920-08-15,1920-08-16,na,1920,Summer
920075,"Sculpturing, Reliefs, Open1",12,Art Competitions,"Victoria & Albert Museum, London",na,1948-07-29,1948-08-14,na,1948,Summer
24081,"Bantamweight (≤54 kilograms), Men",18,Boxing,"Boxhalle, Olympiapark, München",na,1972-08-27,1972-09-10,na,1972,Summer
4402,"1,200 metres Freestyle, Men",1,Swimming,"Ormos tes Zeas, Peiraias",na,1896-04-11,,na,1896,Summer
185198,"Team, Open",15,Equestrian Jumping,"Stadio Olimpico, Roma",na,1960-09-11,,07:00-14:30,1960,Summer
56190,"400 metres, Men",4,Athletics,"Panathinaiko Stadio, Athina",na,1906-04-27,1906-04-30,na,1906,
259985,"Team All-Around, Women",53,Artistic Gymnastics,"Guojia Tiyuguan, Beijing Aolinpike Gongyuan, Beijing",na,2008-08-10,2008-08-13,na,2008,Summer
