Country_Name,Year,Country_Code,Gold,Silver,Bronze,Total,Season,GDP,Population,Gold_Net,Silver_Net,Bronze_Net,Total_Net
Brazil,1964,BRA,0.0,0.0,1.0,1.0,Summer,254838.581,82262794.0,0.0,0.0,3.0,3.0
Russian Federation,1964,RUS,0.0,0.0,0.0,0.0,0,,125345000.0,0.0,0.0,0.0,0.0
San Marino,1964,SMR,0.0,0.0,0.0,0.0,0,,16926.0,0.0,0.0,0.0,0.0
Spain,1964,ESP,0.0,0.0,0.0,0.0,0,675241.6391,31609195.0,0.0,0.0,1.0,1.0
Poland,1964,POL,7.0,6.0,10.0,23.0,Summer,,31139450.0,11.0,13.0,22.0,46.0
Afghanistan,1964,AFG,0.0,0.0,0.0,0.0,0,85511.07341,9355514.0,0.0,0.0,0.0,0.0
Panama,1964,PAN,0.0,0.0,0.0,0.0,0,610429.6553,1271461.0,0.0,0.0,0.0,0.0
Jordan,1964,JOR,0.0,0.0,0.0,0.0,0,,1029447.0,0.0,0.0,0.0,0.0
Japan,1964,JPN,16.0,5.0,8.0,29.0,Summer,843616.8785,96903000.0,20.0,12.0,15.0,47.0
Finland,1964,FIN,3.0,4.0,3.0,10.0,Winter,1707503.938,4548543.0,6.0,8.0,9.0,23.0
Finland,1964,FIN,3.0,0.0,2.0,5.0,Summer,1707503.938,4548543.0,9.0,8.0,11.0,28.0
Jamaica,1964,JAM,0.0,0.0,0.0,0.0,0,520485.3296,1725181.0,0.0,0.0,0.0,0.0
France,1964,FRA,3.0,4.0,0.0,7.0,Winter,1928999.402,48733997.0,4.0,6.0,5.0,15.0
Italy,1964,ITA,10.0,10.0,7.0,27.0,Summer,1222544.54,51675350.0,23.0,20.0,21.0,64.0
France,1964,FRA,1.0,8.0,6.0,15.0,Summer,1928999.402,48733997.0,5.0,14.0,11.0,30.0
Ethiopia,1964,ETH,1.0,0.0,0.0,1.0,Summer,,24073696.0,2.0,0.0,0.0,2.0
Italy,1964,ITA,0.0,1.0,3.0,4.0,Winter,1222544.54,51675350.0,23.0,21.0,24.0,68.0
Ireland,1964,IRL,0.0,0.0,1.0,1.0,Summer,965135.4227,2866550.0,0.0,0.0,1.0,1.0
Iraq,1964,IRQ,0.0,0.0,0.0,0.0,0,292650.9261,7997655.0,0.0,0.0,1.0,1.0
Gabon,1964,GAB,0.0,0.0,0.0,0.0,0,399532.9183,539830.0,0.0,0.0,0.0,0.0
India,1964,IND,1.0,0.0,0.0,1.0,Summer,115487.6084,489059309.0,1.0,1.0,0.0,2.0
Georgia,1964,GEO,0.0,0.0,0.0,0.0,0,,3870300.0,0.0,0.0,0.0,0.0
