,Country_Name,Year
959,Liechtenstein,2008
960,Liechtenstein,2010
961,Liechtenstein,2012
962,Liechtenstein,2014
963,Liechtenstein,2016
964,Liechtenstein,2018
965,Liechtenstein,2020
966,Thailand,1960
967,Thailand,1964
968,Thailand,1968
969,Thailand,1972
970,Thailand,1976
971,Thailand,1980
972,Thailand,1984
973,Thailand,1988
974,Thailand,1992
975,Thailand,1994
976,Thailand,1996
977,Thailand,1998
978,Thailand,2000
979,Thailand,2002
980,Thailand,2004
981,Thailand,2006
982,Thailand,2008
983,Thailand,2010
984,Thailand,2012
985,Thailand,2014
986,Thailand,2016
987,Thailand,2018
988,Thailand,2020
989,Guyana,1960
990,Guyana,1964
991,Guyana,1968
992,Guyana,1972
993,Guyana,1976
994,Guyana,1980
995,Guyana,1984
996,Guyana,1988
997,Guyana,1992
998,Guyana,1994
999,Guyana,1996
1000,Guyana,1998
1001,Guyana,2000
1002,Guyana,2002
1003,Guyana,2004
1004,Guyana,2006
1005,Guyana,2008
1006,Guyana,2010
1007,Guyana,2012
1008,Guyana,2014
1009,Guyana,2016
1010,Guyana,2018
1011,Guyana,2020
1012,China,1960
1013,China,1964
1014,China,1968
1015,China,1972
1016,China,1976
1017,China,1980
1018,China,1984
1019,China,1988
1020,China,1992
1021,China,1994
1022,China,1996
1023,China,1998
1024,China,2000
1025,China,2002
1026,China,2004
1027,China,2006
1028,China,2008
1029,China,2010
1030,China,2012
1031,China,2014
1032,China,2016
1033,China,2018
1034,China,2020
1035,Cote d'Ivoire,1960
1036,Cote d'Ivoire,1964
1037,Cote d'Ivoire,1968
1038,Cote d'Ivoire,1972
1039,Cote d'Ivoire,1976
1040,Cote d'Ivoire,1980
1041,Cote d'Ivoire,1984
1042,Cote d'Ivoire,1988
1043,Cote d'Ivoire,1992
1044,Cote d'Ivoire,1994
1045,Cote d'Ivoire,1996
1046,Cote d'Ivoire,1998
1047,Cote d'Ivoire,2000
1048,Cote d'Ivoire,2002
1049,Cote d'Ivoire,2004
1050,Cote d'Ivoire,2006
1051,Cote d'Ivoire,2008
1052,Cote d'Ivoire,2010
1053,Cote d'Ivoire,2012
1054,Cote d'Ivoire,2014
1055,Cote d'Ivoire,2016
1056,Cote d'Ivoire,2018
1057,Cote d'Ivoire,2020
1058,Dominican Republic,1960
1059,Dominican Republic,1964
1060,Dominican Republic,1968
1061,Dominican Republic,1972
1062,Dominican Republic,1976
1063,Dominican Republic,1980
1064,Dominican Republic,1984
1065,Dominican Republic,1988
1066,Dominican Republic,1992
1067,Dominican Republic,1994
1068,Dominican Republic,1996
1069,Dominican Republic,1998
1070,Dominican Republic,2000
1071,Dominican Republic,2002
1072,Dominican Republic,2004
1073,Dominican Republic,2006
1074,Dominican Republic,2008
1075,Dominican Republic,2010
1076,Dominican Republic,2012
1077,Dominican Republic,2014
1078,Dominican Republic,2016
1079,Dominican Republic,2018
1080,Dominican Republic,2020
1081,"Egypt, Arab Rep.",1960
1082,"Egypt, Arab Rep.",1964
1083,"Egypt, Arab Rep.",1968
1084,"Egypt, Arab Rep.",1972
1085,"Egypt, Arab Rep.",1976
1086,"Egypt, Arab Rep.",1980
1087,"Egypt, Arab Rep.",1984
1088,"Egypt, Arab Rep.",1988
1089,"Egypt, Arab Rep.",1992
1090,"Egypt, Arab Rep.",1994
1091,"Egypt, Arab Rep.",1996
1092,"Egypt, Arab Rep.",1998
1093,"Egypt, Arab Rep.",2000
1094,"Egypt, Arab Rep.",2002
1095,"Egypt, Arab Rep.",2004
1096,"Egypt, Arab Rep.",2006
1097,"Egypt, Arab Rep.",2008
1098,"Egypt, Arab Rep.",2010
1099,"Egypt, Arab Rep.",2012
