,Country_Name,Country_Code,Season,Year,GDP,Population,GDP_per_capita,Gold,Silver,Bronze,Total_Medals,Gold_Score,Silver_Score,Bronze_Score,Total_Score,Medals_per_GDP
122,Ethiopia,ETH,Summer,1968,0.0,26778653.0,0.0,1,1,0,2,3,3,0,6,0.0
123,Finland,FIN,Summer,1968,1907077.2719999999,4626469.0,0.4122101049418033,1,2,1,4,3,6,3,12,6.2923512204701064e-06
124,Finland,FIN,Summer,1968,1907077.2719999999,4626469.0,0.4122101049418033,1,2,1,4,3,6,3,12,6.2923512204701064e-06
125,Finland,FIN,Winter,1968,1907077.2719999999,4626469.0,0.4122101049418033,1,2,2,5,3,6,6,15,7.865439025587633e-06
126,Finland,FIN,Winter,1968,1907077.2719999999,4626469.0,0.4122101049418033,1,2,2,5,3,6,6,15,7.865439025587633e-06
127,France,FRA,Summer,1968,2553975.8430000003,50817020.0,0.05025827651837909,7,3,5,15,21,9,15,45,1.7619587171639505e-05
128,France,FRA,Summer,1968,2553975.8430000003,50817020.0,0.05025827651837909,7,3,5,15,21,9,15,45,1.7619587171639505e-05
129,France,FRA,Winter,1968,2553975.8430000003,50817020.0,0.05025827651837909,4,3,2,9,12,9,6,27,1.0571752302983704e-05
130,France,FRA,Winter,1968,2553975.8430000003,50817020.0,0.05025827651837909,4,3,2,9,12,9,6,27,1.0571752302983704e-05
131,United Kingdom,GBR,Summer,1968,1951758.596,55211700.0,0.03535045282068837,5,5,3,13,15,15,9,39,1.9981979369747837e-05
132,Hungary,HUN,Summer,1968,0.0,10255815.0,0.0,10,10,12,32,30,30,36,96,0.0
133,India,IND,Summer,1968,99516.83611999999,533431909.0,0.0001865595860333132,0,0,1,1,0,0,3,3,3.014565290623309e-05
134,Italy,ITA,Summer,1968,1651939.3769999999,53235750.0,0.031030639692312026,3,4,9,16,9,12,27,48,2.905675636061795e-05
135,Italy,ITA,Summer,1968,1651939.3769999999,53235750.0,0.031030639692312026,3,4,9,16,9,12,27,48,2.905675636061795e-05
136,Italy,ITA,Winter,1968,1651939.3769999999,53235750.0,0.031030639692312026,4,0,0,4,12,0,0,12,7.264189090154488e-06
137,Italy,ITA,Winter,1968,1651939.3769999999,53235750.0,0.031030639692312026,4,0,0,4,12,0,0,12,7.264189090154488e-06
138,Jamaica,JAM,Summer,1968,598100.6359,1812209.0,0.3300395461561001,0,1,0,1,0,3,0,3,5.015878298617271e-06
139,Japan,JPN,Summer,1968,1451337.703,101011000.0,0.014368115383473087,11,7,7,25,33,21,21,75,5.1676463613513666e-05
140,Kenya,KEN,Summer,1968,127502.46280000001,10613877.0,0.012012807647949944,3,4,2,9,9,12,6,27,0.0002117606154976953
141,"Korea, Rep.",KOR,Summer,1968,198431.298,30838302.0,0.006434572759550769,0,1,1,2,0,3,3,6,3.023716551004973e-05
142,Mexico,MEX,Summer,1968,622425.0634,47170337.0,0.013195264290776637,3,3,3,9,9,9,9,27,4.3378715909209e-05
143,Norway,NOR,Summer,1968,2662117.492,3816486.0,0.6975310513388494,1,1,0,2,3,3,0,6,2.253844925338855e-06
144,Norway,NOR,Summer,1968,2662117.492,3816486.0,0.6975310513388494,1,1,0,2,3,3,0,6,2.253844925338855e-06
145,Norway,NOR,Winter,1968,2662117.492,3816486.0,0.6975310513388494,6,6,2,14,18,18,6,42,1.5776914477371983e-05
146,Norway,NOR,Winter,1968,2662117.492,3816486.0,0.6975310513388494,6,6,2,14,18,18,6,42,1.5776914477371983e-05
147,New Zealand,NZL,Summer,1968,1885156.152,2748100.0,0.6859852814671955,1,0,2,3,3,0,6,9,4.774140322780009e-06
148,Pakistan,PAK,Summer,1968,143287.94629999998,56124743.0,0.002553026323880004,1,0,0,1,3,0,0,3,2.0936862293489376e-05
149,Poland,POL,Summer,1968,0.0,32294655.0,0.0,5,2,11,18,15,6,33,54,0.0
150,Romania,ROU,Summer,1968,0.0,19799831.0,0.0,4,6,5,15,12,18,15,45,0.0
151,Romania,ROU,Summer,1968,0.0,19799831.0,0.0,4,6,5,15,12,18,15,45,0.0
152,Romania,ROU,Winter,1968,0.0,19799831.0,0.0,0,0,1,1,0,0,3,3,0.0
153,Romania,ROU,Winter,1968,0.0,19799831.0,0.0,0,0,1,1,0,0,3,3,0.0
154,Sweden,SWE,Summer,1968,3926409.001,7912273.0,0.4962428623228749,2,1,1,4,6,3,3,12,3.0562277126360936e-06
155,Sweden,SWE,Summer,1968,3926409.001,7912273.0,0.4962428623228749,2,1,1,4,6,3,3,12,3.0562277126360936e-06
156,Sweden,SWE,Winter,1968,3926409.001,7912273.0,0.4962428623228749,3,2,3,8,9,6,9,24,6.112455425272187e-06
157,Sweden,SWE,Winter,1968,3926409.001,7912273.0,0.4962428623228749,3,2,3,8,9,6,9,24,6.112455425272187e-06
158,Tunisia,TUN,Summer,1968,253848.674,4785003.0,0.05305089129515697,1,0,1,2,3,0,3,6,2.3636128979740112e-05
159,Turkiye,TUR,Summer,1968,516466.80630000005,33884075.0,0.015242169257977384,2,0,0,2,6,0,0,6,1.161739714306979e-05
160,Uganda,UGA,Summer,1968,107031.3041,9696370.0,0.011038285884305157,0,1,1,2,0,3,3,6,5.6058365825330536e-05
161,United States,USA,Summer,1968,4695923.39,200706000.0,0.02339702545016093,45,28,34,107,135,84,102,321,6.835716287100672e-05
162,United States,USA,Summer,1968,4695923.39,200706000.0,0.02339702545016093,45,28,34,107,135,84,102,321,6.835716287100672e-05
163,United States,USA,Winter,1968,4695923.39,200706000.0,0.02339702545016093,1,5,1,7,3,15,3,21,4.4719639261406265e-06
164,United States,USA,Winter,1968,4695923.39,200706000.0,0.02339702545016093,1,5,1,7,3,15,3,21,4.4719639261406265e-06
165,"Venezuela, RB",VEN,Summer,1968,940201.4199,10672654.0,0.08809443460829892,1,0,0,1,3,0,0,3,3.190805647069838e-06
166,Argentina,ARG,Summer,1972,1411176.664,24612794.0,0.05733508613447137,0,1,0,1,0,3,0,3,2.125885494376344e-06
167,Australia,AUS,Summer,1972,3949461.643,13177000.0,0.299723885785839,8,7,2,17,24,21,6,51,1.2913152376195896e-05
168,Austria,AUT,Summer,1972,2924048.8789999997,7544201.0,0.38758894136039057,0,1,2,3,0,3,6,9,3.0779239241301345e-06
169,Austria,AUT,Summer,1972,2924048.8789999997,7544201.0,0.38758894136039057,0,1,2,3,0,3,6,9,3.0779239241301345e-06
170,Austria,AUT,Winter,1972,2924048.8789999997,7544201.0,0.38758894136039057,1,2,2,5,3,6,6,15,5.129873206883557e-06
171,Austria,AUT,Winter,1972,2924048.8789999997,7544201.0,0.38758894136039057,1,2,2,5,3,6,6,15,5.129873206883557e-06
