,Country_Name,Country_Code,Year,Season,Population,GDP,GDP_Per_Capita,Y_Gold,Y_Silver,Y_Bronze,Y_Total,A_Gold,A_Silver,A_Bronze,A_Total,Y_Capita_Per_Medal,A_Capita_Per_Medal,Y_Capita_Per_GDP,A_Capita_Per_GDP,A_Score,Y_Score,Y_Score_Per_Capita,A_Score_Per_Capita,Y_Score/Population,Y_Score/GDP,Population to Gold Medal,Population to Silver Medal,Population to Bronze Medal,Population to Weight Score,GDP to Gold Medal,GDP to Silver Medal,GDP to Bronze Medal,GDP to Weight Score
66,Austria,AUT,1968,Winter,7415403.0,12440625312.551785,1677.673528,3.0,4.0,4.0,11.0,9.0,14.0,12.0,35.0,1.4833988119054351e-06,4.719905310608203e-06,8.841999275471877e-10,2.813363405831961e-09,67.0,21.0,353114.4285714286,110677.65671641791,2.831943186364922e-06,1.688018043499177e-09,2471801.0,1853850.75,1853850.75,353114.4285714286,4146875104.183928,3110156328.137946,3110156328.137946,592410729.1691326
67,Belgium,BEL,1968,Summer,9618756.0,21376353118.100315,2222.361511,0.0,1.0,1.0,2.0,2.0,3.0,4.0,9.0,2.079270957699728e-07,9.356719309648774e-07,9.356132867708431e-11,4.2102597904687935e-10,16.0,3.0,3206252.0,601172.25,3.118906436549592e-07,1.4034199301562649e-10,0.0,9618756.0,9618756.0,3206252.0,0.0,21376353118.100315,21376353118.100315,7125451039.366772
68,Brazil,BRA,1968,Summer,91659246.0,33930457429.557503,370.1804118,0.0,1.0,2.0,3.0,0.0,1.0,5.0,6.0,3.272992230374664e-08,6.545984460749328e-08,8.841613780858256e-11,1.7683227561716512e-10,7.0,4.0,22914811.5,13094178.0,4.363989640499552e-08,1.1788818374477674e-10,0.0,91659246.0,45829623.0,22914811.5,0.0,33930457429.557503,16965228714.778751,8482614357.389376
69,Cameroon,CMR,1968,Summer,6127193.0,1046191192.4069402,170.7455914,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.6320687140098248e-07,1.6320687140098248e-07,9.55848230474327e-10,9.55848230474327e-10,2.0,2.0,3063596.5,3063596.5,3.2641374280196496e-07,1.911696460948654e-09,0.0,6127193.0,0.0,3063596.5,0.0,1046191192.4069402,0.0,523095596.2034701
70,Canada,CAN,1968,Summer,20744000.0,71829810520.768,3462.678872,1.0,3.0,1.0,5.0,5.0,8.0,4.0,17.0,2.410335518704204e-07,8.195140763594292e-07,6.960898217258084e-11,2.3667053938677487e-10,35.0,10.0,2074400.0,592685.7142857143,4.820671037408407e-07,1.3921796434516169e-10,20744000.0,6914666.666666667,20744000.0,2074400.0,71829810520.768,23943270173.589336,71829810520.768,7182981052.0768
71,Canada,CAN,1968,Winter,20744000.0,71829810520.768,3462.678872,1.0,1.0,1.0,3.0,6.0,9.0,5.0,20.0,1.4462013112225224e-07,9.641342074816817e-07,4.176538930354851e-11,2.7843592869032337e-10,41.0,6.0,3457333.333333333,505951.2195121951,2.892402622445045e-07,8.3530778607097e-11,20744000.0,20744000.0,20744000.0,3457333.333333333,71829810520.768,71829810520.768,71829810520.768,11971635086.794668
72,Finland,FIN,1968,Summer,4626469.0,8823033879.512568,1907.077272,1.0,2.0,1.0,4.0,10.0,10.0,12.0,32.0,8.645902523068889e-07,6.916722018455111e-06,4.5335879410915076e-10,3.626870352873206e-09,62.0,8.0,578308.625,74620.46774193548,1.7291805046137778e-06,9.067175882183015e-10,4626469.0,2313234.5,4626469.0,578308.625,8823033879.512568,4411516939.756284,8823033879.512568,1102879234.939071
73,Finland,FIN,1968,Winter,4626469.0,8823033879.512568,1907.077272,1.0,2.0,2.0,5.0,11.0,12.0,14.0,37.0,1.0807378153836112e-06,7.997459833838722e-06,5.666984926364385e-10,4.193568845509645e-09,71.0,9.0,514052.1111111111,65161.535211267605,1.9453280676905e-06,1.020057286745589e-09,4626469.0,2313234.5,2313234.5,514052.1111111111,8823033879.512568,4411516939.756284,4411516939.756284,980337097.7236186
74,France,FRA,1968,Summer,50817020.0,129785441493.24786,2553.975843,7.0,3.0,5.0,15.0,12.0,17.0,16.0,45.0,2.951766947373144e-07,8.855300842119432e-07,1.1557536675467856e-10,3.467261002640357e-10,86.0,32.0,1588031.875,590895.5813953489,6.297102821062707e-07,2.4656078240998093e-10,7259574.285714285,16939006.666666668,10163404.0,1588031.875,18540777356.178265,43261813831.08262,25957088298.64957,4055795046.663996
75,France,FRA,1968,Winter,50817020.0,129785441493.24786,2553.975843,4.0,3.0,2.0,9.0,16.0,20.0,18.0,54.0,1.7710601684238864e-07,1.062636101054332e-06,6.934522005280714e-11,4.160713203168429e-10,106.0,20.0,2540851.0,479405.8490566038,3.935689263164192e-07,1.5410048900623806e-10,12704255.0,16939006.666666668,25408510.0,2540851.0,32446360373.31197,43261813831.08262,64892720746.62393,6489272074.662394
